fb_date,fb_month,fb_year,fb_isoweek,fb_isodow,fb_isoyear,fb_network,fb_channel_group,fb_sub_channel,fb_advertiser,fb_cost,fb_impressions,fb_clicks,fb_video_views,fb_post_comments,fb_post_likes,fb_post_reactions
2017-01-05,1,2017,1,3,2017,Facebook,Remarketing,,Tempur-Pedic,1880.65,38129,629,0.0,2.0,1.0,33.0
2017-08-03,8,2017,31,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,728.9,12599,206,57.0,5.0,0.0,11.0
2017-02-16,2,2017,7,3,2017,Facebook,Acquisition,,Tempur-Pedic,5176.290000000002,324894,2736,0.0,22.0,48.0,193.0
2017-12-23,12,2017,51,5,2017,Facebook,Branded Search,,Tempur-Pedic,699.21,41005,2490,0.0,25.0,8.0,1726.0
2017-12-31,12,2017,52,6,2017,Facebook,Branded Search,,Tempur-Pedic,874.01,85396,4036,0.0,33.0,23.0,1922.0
2017-01-24,1,2017,4,1,2017,Instagram,Remarketing,,Tempur-Pedic,82.42,3006,15,0.0,0.0,0.0,19.0
2017-08-02,8,2017,31,2,2017,Instagram,Remarketing,Remarketing,Tempur-Pedic,307.82000000000005,7243,23,,,,11.0
2017-09-19,9,2017,38,1,2017,Facebook,Acquisition,,Tempur-Pedic,11662.239999999998,795967,2669,0.0,21.0,41.0,353.0
2017-06-26,6,2017,25,7,2017,Instagram,Remarketing,,Tempur-Pedic,326.85,6388,56,0.0,0.0,0.0,7.0
2017-07-20,7,2017,29,3,2017,Instagram,Acquisition,,Tempur-Pedic,3004.0499999999997,143057,1109,42.0,3.0,25.0,71.0
2017-08-17,8,2017,33,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,2311.95,37727,463,0.0,1.0,4.0,40.0
2017-09-11,9,2017,36,7,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,0.38,57,0,,,,
2018-01-28,1,2018,4,6,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,18910.160000000007,1361921,10357,2341.0,51.0,143.0,597.0
2018-03-27,3,2018,13,1,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,280.74,12479,53,0.0,0.0,2.0,4.0
2017-01-25,1,2017,4,2,2017,Facebook,Acquisition,,Tempur-Pedic,1258.88,142033,1554,7269.0,4.0,5.0,70.0
2017-02-02,2,2017,5,3,2017,Facebook,Acquisition,,Tempur-Pedic,4840.019999999998,409527,3813,9672.0,34.0,35.0,190.0
2017-02-21,2,2017,8,1,2017,Instagram,Remarketing,,Tempur-Pedic,210.85,3806,26,0.0,0.0,0.0,17.0
2017-08-03,8,2017,31,3,2017,Instagram,Acquisition,,Tempur-Pedic,6629.28,338735,2278,50.0,12.0,25.0,317.0
2017-10-03,10,2017,40,1,2017,Facebook,Acquisition,,Tempur-Pedic,2798.5,221446,1335,9.0,13.0,2.0,89.0
2017-10-11,10,2017,41,2,2017,Facebook,Acquisition,,Tempur-Pedic,3819.1000000000004,420005,1216,28.0,10.0,10.0,43.0
2017-12-23,12,2017,51,5,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,3048.7,183819,1202,0.0,15.0,4.0,198.0
2017-09-03,9,2017,35,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,3224.8900000000003,283451,3352,0.0,31.0,44.0,210.0
2017-07-06,7,2017,27,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,1442.8300000000004,20220,404,0.0,1.0,3.0,41.0
2017-10-04,10,2017,40,2,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,442.47,16302,602,0.0,7.0,12.0,272.0
2017-09-28,9,2017,39,3,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,877.6,53131,5135,0.0,70.0,30.0,3760.0
2018-04-05,4,2018,14,3,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,6758.27,324016,2414,1302.0,15.0,38.0,139.0
2018-04-11,4,2018,15,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,6760.509999999997,316856,2092,739.0,15.0,26.0,104.0
2018-03-13,3,2018,11,1,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,291.35,14869,138,0.0,0.0,6.0,10.0
2018-01-14,1,2018,2,6,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,41987.420000000006,3697702,27460,2020.0,131.0,316.0,1635.0
2018-03-14,3,2018,11,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,7442.17,381977,2775,142.0,9.0,26.0,174.0
2017-09-06,9,2017,36,2,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,495.99,50200,5396,0.0,22.0,19.0,602.0
2017-08-20,8,2017,33,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,3484.770000000001,164667,1362,0.0,4.0,22.0,46.0
2017-09-14,9,2017,37,3,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,8.2,726,97,0.0,0.0,1.0,12.0
2017-02-08,2,2017,6,2,2017,Facebook,Acquisition,,Tempur-Pedic,4983.459999999999,326277,2979,9568.0,35.0,31.0,164.0
2017-04-19,4,2017,16,2,2017,Instagram,Acquisition,,Tempur-Pedic,2714.07,161559,570,0.0,7.0,0.0,435.0
2017-09-27,9,2017,39,2,2017,Facebook,Acquisition,,Tempur-Pedic,159.21,10065,129,9.0,1.0,2.0,1.0
2017-08-02,8,2017,31,2,2017,Facebook,Remarketing,,Tempur-Pedic,7596.959999999998,202425,2933,0.0,15.0,39.0,111.0
2017-03-07,3,2017,10,1,2017,Instagram,Remarketing,,Tempur-Pedic,133.52,7283,21,0.0,1.0,0.0,18.0
2017-08-10,8,2017,32,3,2017,Facebook,Remarketing,,Tempur-Pedic,10833.599999999997,291112,2934,0.0,38.0,69.0,372.0
2017-08-16,8,2017,33,2,2017,Facebook,Remarketing,,Tempur-Pedic,12527.02,322002,3872,0.0,8.0,31.0,228.0
2017-09-27,9,2017,39,2,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,920.46,49278,5167,0.0,68.0,27.0,3777.0
2017-12-31,12,2017,52,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,27430.539999999997,1671529,10586,0.0,64.0,249.0,953.0
2017-01-19,1,2017,3,3,2017,Facebook,Acquisition,,Tempur-Pedic,2612.9100000000003,232534,2210,7617.0,17.0,15.0,104.0
2018-04-22,4,2018,16,6,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,19626.029999999995,1497439,8572,7036.0,43.0,80.0,519.0
2018-01-06,1,2018,1,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,14690.749999999998,1095040,7923,1365.0,27.0,97.0,723.0
2018-02-27,2,2018,9,1,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,392.77,20560,137,0.0,0.0,1.0,5.0
2018-03-22,3,2018,12,3,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,4042.4700000000007,212797,2069,0.0,11.0,25.0,145.0
2018-03-28,3,2018,13,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,2048.1700000000005,115440,976,1400.0,9.0,15.0,59.0
2017-12-03,12,2017,48,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,23803.990000000013,1383437,8531,932.0,40.0,186.0,667.0
2017-11-25,11,2017,47,5,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,45622.270000000004,2075121,12975,4327.0,60.0,145.0,726.0
2017-08-23,8,2017,34,2,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,398.79999999999995,22864,1712,0.0,12.0,23.0,1065.0
2017-04-13,4,2017,15,3,2017,Instagram,Acquisition,,Tempur-Pedic,644.86,32550,89,0.0,3.0,0.0,23.0
2017-07-13,7,2017,28,3,2017,Instagram,Acquisition,,Tempur-Pedic,3337.9399999999996,138452,800,0.0,2.0,9.0,99.0
2017-05-11,5,2017,19,3,2017,Instagram,Remarketing,Remarketing,Tempur-Pedic,127.44,3976,19,,1.0,,18.0
2017-11-01,10,2017,44,2,2017,Facebook,Branded Search,,Tempur-Pedic,3853.68,165016,2573,0.0,42.0,156.0,683.0
2017-05-01,4,2017,17,7,2017,Instagram,Remarketing,,Tempur-Pedic,742.54,34212,188,0.0,2.0,0.0,62.0
2017-08-30,8,2017,35,2,2017,Facebook,Remarketing,,Tempur-Pedic,19334.300000000014,730273,5343,0.0,32.0,73.0,363.0
2017-05-17,5,2017,20,2,2017,Facebook,Acquisition,,Tempur-Pedic,16328.800000000003,594289,4637,294.0,43.0,77.0,236.0
2017-01-20,1,2017,3,4,2017,Facebook,Remarketing,,Tempur-Pedic,1601.19,34277,548,0.0,8.0,1.0,36.0
2017-08-22,8,2017,34,1,2017,Facebook,Remarketing,,Tempur-Pedic,12719.72,331202,3294,0.0,20.0,44.0,282.0
2017-12-14,12,2017,50,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,8474.959999999997,304499,2295,410.0,25.0,61.0,223.0
2017-08-04,8,2017,31,4,2017,Instagram,Acquisition,,Tempur-Pedic,6711.909999999997,321980,2249,36.0,14.0,29.0,359.0
2018-05-09,5,2018,19,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,7085.989999999997,284821,2368,1713.0,14.0,25.0,143.0
2018-03-07,3,2018,10,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,390.96000000000004,21969,138,0.0,1.0,3.0,12.0
2018-06-05,6,2018,23,1,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,3384.97,141284,1607,570.0,5.0,7.0,121.0
2018-03-31,3,2018,13,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,971.52,88890,459,0.0,1.0,7.0,10.0
2018-07-11,7,2018,28,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,12423.76,569996,4003,4113.0,16.0,33.0,283.0
2018-04-08,4,2018,14,6,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,11876.21,1286192,6783,4801.0,19.0,55.0,300.0
2017-12-26,12,2017,52,1,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,7544.299999999999,341167,4358,392.0,14.0,37.0,323.0
2017-08-03,8,2017,31,3,2017,Facebook,Remarketing,,Tempur-Pedic,8434.81,235378,2408,1.0,21.0,51.0,165.0
2017-08-11,8,2017,32,4,2017,Facebook,Remarketing,,Tempur-Pedic,10066.209999999995,253669,2403,0.0,30.0,47.0,318.0
2017-04-19,4,2017,16,2,2017,Facebook,Acquisition,,Tempur-Pedic,11972.740000000002,708413,4202,0.0,46.0,97.0,185.0
2017-06-06,6,2017,23,1,2017,Instagram,Remarketing,,Tempur-Pedic,1291.56,30921,178,0.0,2.0,0.0,40.0
2017-06-08,6,2017,23,3,2017,Facebook,Acquisition,,Tempur-Pedic,344.74,12380,92,0.0,1.0,2.0,8.0
2017-06-30,6,2017,26,4,2017,Instagram,Acquisition,Acquisition,Tempur-Pedic,1165.22,45821,153,,1.0,1.0,23.0
2018-05-20,5,2018,20,6,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,40296.45,3089444,20205,18757.0,82.0,220.0,731.0
2017-06-23,6,2017,25,4,2017,Instagram,Acquisition,,Tempur-Pedic,674.8799999999999,30499,126,0.0,1.0,0.0,24.0
2018-04-27,4,2018,17,4,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,12224.989999999998,1423236,6877,6466.0,13.0,51.0,409.0
2018-01-03,1,2018,1,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,7377.239999999999,402281,3147,290.0,12.0,42.0,317.0
2018-05-01,4,2018,18,1,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,9106.959999999997,356831,2055,1832.0,9.0,31.0,130.0
2017-12-07,12,2017,49,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,9892.67,416645,3440,1631.0,8.0,29.0,196.0
2017-12-15,12,2017,50,4,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,10874.19,338572,2808,1801.0,12.0,38.0,265.0
2018-01-06,1,2018,1,5,2018,Facebook,Branded Search,,Tempur-Pedic,490.22,62291,2267,0.0,9.0,9.0,650.0
2017-11-02,11,2017,44,3,2017,Facebook,Branded Search,,Tempur-Pedic,533.8399999999999,17222,435,4.0,12.0,23.0,134.0
2017-05-16,5,2017,20,1,2017,Facebook,Acquisition,,Tempur-Pedic,23588.88999999999,775610,4620,346.0,28.0,80.0,180.0
2017-05-06,5,2017,18,5,2017,Facebook,Remarketing,,Tempur-Pedic,5982.420000000002,281828,2438,0.0,22.0,32.0,117.0
2017-01-19,1,2017,3,3,2017,Facebook,Remarketing,,Tempur-Pedic,1652.06,37316,610,0.0,0.0,8.0,30.0
2017-08-22,8,2017,34,1,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,389.42,23057,1757,0.0,12.0,23.0,1123.0
2017-08-30,8,2017,35,2,2017,Facebook,Branded Search,Engagement,Tempur-Pedic,393.25,24773,1383,0.0,14.0,25.0,740.0
2017-04-28,4,2017,17,4,2017,Facebook,Remarketing,,Tempur-Pedic,8057.190000000001,302007,3911,0.0,24.0,45.0,157.0
2017-05-02,5,2017,18,1,2017,Instagram,Remarketing,,Tempur-Pedic,198.88,9006,28,0.0,2.0,0.0,22.0
2017-05-25,5,2017,21,3,2017,Instagram,Acquisition,,Tempur-Pedic,67148.13999999996,2872680,12912,0.0,134.0,217.0,2762.0
2017-03-03,3,2017,9,4,2017,Facebook,Acquisition,,Tempur-Pedic,14421.02,674540,6628,0.0,48.0,104.0,423.0
2017-05-18,5,2017,20,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,3771.8600000000006,480107,4505,,5.0,5.0,130.0
2017-08-31,8,2017,35,3,2017,Facebook,Remarketing,,Tempur-Pedic,20651.139999999992,796838,5607,0.0,33.0,82.0,360.0
2018-06-06,6,2018,23,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,1951.0900000000001,86064,839,568.0,5.0,5.0,63.0
2018-04-04,4,2018,14,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,8.96,362,6,0.0,0.0,0.0,0.0
2017-05-25,5,2017,21,3,2017,Facebook,Remarketing,,Tempur-Pedic,19701.290000000008,426939,4408,0.0,25.0,72.0,254.0
2017-05-17,5,2017,20,2,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,6008.230000000001,392078,5051,,6.0,23.0,164.0
2018-07-03,7,2018,27,1,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,25629.58999999999,1023157,10827,2683.0,84.0,108.0,713.0
2018-03-10,3,2018,10,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,15364.179999999998,1062034,8215,0.0,28.0,146.0,520.0
2017-05-26,5,2017,21,4,2017,Instagram,Acquisition,,Tempur-Pedic,41751.49999999996,1820158,9576,0.0,81.0,164.0,1430.0
2017-07-06,7,2017,27,3,2017,Facebook,Acquisition,,Tempur-Pedic,28922.970000000005,1310643,5558,802.0,26.0,82.0,243.0
2017-05-29,5,2017,21,7,2017,Instagram,Remarketing,,Tempur-Pedic,8321.350000000006,213824,1561,0.0,4.0,0.0,342.0
2017-04-12,4,2017,15,2,2017,Instagram,Remarketing,,Tempur-Pedic,1086.67,53463,151,0.0,2.0,0.0,106.0
2017-05-05,5,2017,18,4,2017,Facebook,Remarketing,,Tempur-Pedic,8958.28,395239,2710,0.0,22.0,47.0,155.0
2017-05-17,5,2017,20,2,2017,Facebook,Remarketing,,Tempur-Pedic,4735.89,170672,1616,285.0,8.0,32.0,86.0
2017-09-08,9,2017,36,4,2017,Facebook,Remarketing,,Tempur-Pedic,11531.67,642727,3510,0.0,30.0,49.0,274.0
2017-09-08,9,2017,36,4,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,2119.31,40240,540,0.0,1.0,3.0,31.0
2018-01-04,1,2018,1,3,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,8217.64,479617,3359,508.0,15.0,58.0,353.0
2018-03-28,3,2018,13,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,288.71,11793,55,0.0,0.0,2.0,6.0
2018-03-30,3,2018,13,4,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,8068.900000000001,766911,3308,0.0,11.0,22.0,161.0
2018-07-14,7,2018,28,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,26001.71999999999,2097060,9507,25896.0,56.0,109.0,917.0
2018-03-22,3,2018,12,3,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,288.15999999999997,13430,149,0.0,0.0,2.0,12.0
2018-03-14,3,2018,11,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,295.39,13076,101,0.0,0.0,2.0,5.0
2017-05-04,5,2017,18,3,2017,Instagram,Acquisition,,Tempur-Pedic,3422.2700000000004,243589,1535,0.0,3.0,23.0,69.0
2018-03-24,3,2018,12,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,10536.890000000001,1070327,4569,1852.0,11.0,18.0,252.0
2018-03-16,3,2018,11,4,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,15009.700000000003,981977,7887,202.0,36.0,60.0,516.0
2017-02-20,2,2017,7,7,2017,Instagram,Remarketing,,Tempur-Pedic,34.51,3499,6,0.0,2.0,0.0,16.0
2017-01-20,1,2017,3,4,2017,Facebook,Acquisition,,Tempur-Pedic,1498.3999999999999,164857,1612,7507.0,8.0,7.0,66.0
2018-01-05,1,2018,1,4,2018,Facebook,Branded Search,,Tempur-Pedic,490.59000000000003,64589,2274,0.0,9.0,9.0,623.0
2017-06-07,6,2017,23,2,2017,Instagram,Remarketing,,Tempur-Pedic,469.06,11298,74,0.0,0.0,0.0,16.0
2017-05-11,5,2017,19,3,2017,Facebook,Remarketing,,Tempur-Pedic,3858.2799999999997,148346,2118,247.0,28.0,31.0,118.0
2017-06-13,6,2017,24,1,2017,Instagram,Remarketing,,Tempur-Pedic,434.99,8694,168,0.0,0.0,0.0,43.0
2017-12-27,12,2017,52,2,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,8879.22,368845,4830,409.0,13.0,48.0,334.0
2017-02-03,2,2017,5,4,2017,Facebook,Acquisition,,Tempur-Pedic,5906.17,416455,3784,8272.0,26.0,34.0,240.0
2017-03-06,3,2017,9,7,2017,Instagram,Remarketing,,Tempur-Pedic,97.91,3942,18,0.0,0.0,0.0,15.0
2018-04-05,4,2018,14,3,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,113.43,4779,53,0.0,0.0,0.0,1.0
2018-04-07,4,2018,14,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,10894.15,1131954,5776,5109.0,21.0,33.0,411.0
2018-03-08,3,2018,10,3,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,296.5,14500,147,0.0,0.0,2.0,14.0
2018-01-18,1,2018,3,3,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,10646.170000000004,472673,3815,472.0,20.0,55.0,272.0
2017-12-18,12,2017,50,7,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,32846.81,2123963,12807,3831.0,122.0,84.0,1577.0
2017-05-16,5,2017,20,1,2017,Instagram,Remarketing,,Tempur-Pedic,1747.1999999999998,36747,352,5.0,1.0,0.0,89.0
2017-02-09,2,2017,6,3,2017,Facebook,Acquisition,,Tempur-Pedic,1725.1200000000003,184266,2134,9735.0,13.0,2.0,81.0
2017-04-28,4,2017,17,4,2017,Instagram,Acquisition,,Tempur-Pedic,3656.27,209743,849,0.0,6.0,0.0,900.0
2017-04-13,4,2017,15,3,2017,Facebook,Remarketing,,Tempur-Pedic,6356.650000000001,227588,3482,0.0,24.0,31.0,148.0
2017-04-21,4,2017,16,4,2017,Facebook,Remarketing,,Tempur-Pedic,6159.320000000001,259239,2513,0.0,21.0,32.0,147.0
2017-04-27,4,2017,17,3,2017,Facebook,Remarketing,,Tempur-Pedic,8050.62,288252,3692,0.0,19.0,33.0,143.0
2017-01-26,1,2017,4,3,2017,Facebook,Acquisition,,Tempur-Pedic,1118.1999999999991,124971,1364,6761.0,11.0,0.0,63.0
2017-08-19,8,2017,33,5,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,3616.4399999999996,149672,1203,0.0,6.0,14.0,47.0
2018-04-21,4,2018,16,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,18423.519999999997,1299053,8108,5068.0,51.0,88.0,659.0
2017-05-10,5,2017,19,2,2017,Facebook,Acquisition,,Tempur-Pedic,12956.78,533978,2334,376.0,12.0,35.0,124.0
2018-06-20,6,2018,25,2,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,2471.37,98093,801,928.0,3.0,6.0,60.0
2018-02-28,2,2018,9,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,376.6,17351,121,0.0,0.0,0.0,6.0
2017-08-31,8,2017,35,3,2017,Facebook,Acquisition,,Tempur-Pedic,65804.47000000003,3460918,13918,0.0,103.0,225.0,1682.0
2017-09-08,9,2017,36,4,2017,Facebook,Acquisition,,Tempur-Pedic,32988.74,2519619,7001,0.0,28.0,132.0,365.0
2017-05-24,5,2017,21,2,2017,Facebook,Acquisition,,Tempur-Pedic,45160.75000000001,1794552,14598,0.0,101.0,476.0,878.0
2017-08-13,8,2017,32,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,3810.71,180650,1226,0.0,5.0,14.0,108.0
2017-04-03,4,2017,13,7,2017,Instagram,Remarketing,,Tempur-Pedic,179.76999999999998,9935,48,0.0,1.0,0.0,42.0
2017-06-14,6,2017,24,2,2017,Facebook,Acquisition,,Tempur-Pedic,1242.87,54634,484,0.0,3.0,6.0,17.0
2017-04-14,4,2017,15,4,2017,Instagram,Acquisition,,Tempur-Pedic,2126.83,152384,439,0.0,3.0,0.0,281.0
2017-12-14,12,2017,50,3,2017,Facebook,Remarketing,,Tempur-Pedic,129.26999999999998,3093,31,0.0,0.0,0.0,1.0
2018-02-14,2,2018,7,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,1087.89,50047,230,0.0,2.0,2.0,20.0
2017-12-30,12,2017,52,5,2017,Facebook,Branded Search,,Tempur-Pedic,1248.06,87388,5377,0.0,34.0,22.0,2889.0
2018-04-24,4,2018,17,1,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,9281.009999999998,340249,2154,1962.0,12.0,27.0,148.0
2017-03-16,3,2017,11,3,2017,Facebook,Remarketing,,Tempur-Pedic,1661.75,45542,648,0.0,4.0,2.0,36.0
2018-04-16,4,2018,15,7,2018,Facebook,Remarketing,Remarketing,Tempur-Pedic,9981.83,414413,4104,1612.0,12.0,24.0,196.0
2017-12-22,12,2017,51,4,2017,Facebook,Branded Search,,Tempur-Pedic,659.21,35715,2393,0.0,9.0,9.0,1618.0
2017-11-30,11,2017,48,3,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,10615.590000000002,456899,3101,334.0,23.0,54.0,319.0
2017-11-22,11,2017,47,2,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,19945.780000000002,578155,4706,987.0,20.0,52.0,309.0
2017-11-30,11,2017,48,3,2017,Facebook,Remarketing,,Tempur-Pedic,58.55,1048,10,0.0,0.0,0.0,2.0
2017-09-10,9,2017,36,6,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,1.2,154,1,,,,
2017-07-06,7,2017,27,3,2017,Facebook,Remarketing,,Tempur-Pedic,9432.38,225463,2891,0.0,19.0,73.0,187.0
2017-09-02,9,2017,35,5,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,2129.1400000000003,187083,1877,173.0,12.0,8.0,157.0
2017-05-31,5,2017,22,2,2017,Facebook,Acquisition,,Tempur-Pedic,18514.519999999997,862125,5152,0.0,29.0,106.0,338.0
2017-03-20,3,2017,11,7,2017,Instagram,Remarketing,,Tempur-Pedic,112.94,5767,20,0.0,0.0,0.0,10.0
2018-04-28,4,2018,17,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,12818.240000000002,1472066,6904,9205.0,25.0,60.0,340.0
2017-12-06,12,2017,49,2,2017,Facebook,Remarketing,Remarketing,Tempur-Pedic,11295.109999999999,435500,4718,1848.0,12.0,33.0,328.0
2017-06-27,6,2017,26,1,2017,Instagram,Remarketing,,Tempur-Pedic,415.65999999999997,7504,91,0.0,1.0,0.0,16.0
2017-09-14,9,2017,37,3,2017,Facebook,Acquisition,,Tempur-Pedic,44317.51000000001,2465043,7793,0.0,68.0,134.0,540.0
2017-12-06,12,2017,49,2,2017,Facebook,Remarketing,,Tempur-Pedic,258.1,4814,78,30.0,0.0,1.0,9.0
2017-12-04,12,2017,48,7,2017,Facebook,Acquisition,Acquisition,Tempur-Pedic,15752.970000000001,1019443,5832,517.0,40.0,110.0,538.0
2018-05-19,5,2018,20,5,2018,Facebook,Acquisition,Acquisition,Tempur-Pedic,38845.049999999996,2956396,18479,18349.0,74.0,159.0,817.0
2018-02-21,2,2018,8,2,2018,Facebook,Branded Search,Remarketing,Tempur-Pedic,820.48,37147,204,0.0,0.0,1.0,15.0
2017-03-02,3,2017,9,3,2017,Facebook,Remarketing,,Tempur-Pedic,2494.9799999999996,62449,953,0.0,1.0,0.0,43.0
2018-03-16,3,2018,11,4,2018,Facebook,Branded Search,,Tempur-Pedic,103.57000000000001,3495,112,0.0,2.0,1.0,645.0
2017-05-11,5,2017,19,3,2017,Facebook,Acquisition,,Tempur-Pedic,18339.66,552905,2516,380.0,23.0,34.0,123.0
